OG	Median OG length (bp)	Proportion contexts near scaffold edge	Number of genomes with OG	Number of instances	Context variability score	Context variability score - complete contexts	Context entropy score	Context entropy score - complete contexts	Number of distinct neighbor OGs	Number of distinct OGs from complete contexts	Avg. number of distinct neighbor OGs	Avg. number of distinct neighbor OGs from complete contexts	description 	cog
OG0004431	424.5	1	2	2	1	NA	0.69	NA	2	0	2	2	Aminoglycoside-2''-adenylyltransferase	J
OG0004753	201	0	2	2	1	1	0.69	0.69	2	2	2	2	#N/A	#N/A
OG0005120	201	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005349	321	1	1	1	1	NA	0.69	NA	2	0	2	2	Putative membrane protein	S
OG0005351	159	1	1	1	1	NA	0.69	NA	2	0	2	2	NUDIX domain	F
OG0005352	195	1	1	1	1	NA	0.69	NA	2	0	2	2	-	-
OG0005353	180	1	1	1	1	NA	0.69	NA	2	0	2	2	CHAP domain	M
OG0005358	132	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005359	240	1	1	1	1	NA	0.69	NA	2	0	2	2	Trp repressor protein	S
OG0005360	246	1	1	1	1	NA	0.69	NA	2	0	2	2	purine ribonucleoside salvage	F
OG0005361	120	1	1	1	1	NA	0.69	NA	2	0	2	2	Protein of unknown function (DUF3219)	S
OG0005364	78	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005365	228	1	1	1	1	NA	0.69	NA	2	0	2	2	malate quinone oxidoreductase	S
OG0005367	87	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005372	96	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005373	156	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005376	405	1	1	1	1	NA	0.69	NA	2	0	2	2	-	-
OG0005383	420	1	1	1	1	NA	0.69	NA	2	0	2	2	OsmC-like protein	O
OG0005384	189	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005387	318	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005388	333	1	1	1	1	NA	0.69	NA	2	0	2	2	Cytochrome c oxidase caa3 assembly factor (Caa3_CtaG)	S
OG0005390	234	1	1	1	1	NA	0.69	NA	2	0	2	2	Nucleoside 2-deoxyribosyltransferase	S
OG0005391	288	1	1	1	1	NA	0.69	NA	2	0	2	2	Transcriptional regulator CtsR	K
OG0005392	78	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005393	279	1	1	1	1	NA	0.69	NA	2	0	2	2	-	-
OG0005394	339	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005399	198	1	1	1	1	NA	0.69	NA	2	0	2	2	this subunit has chaperone activity. The binding of ATP and its subsequent hydrolysis by HslU are essential for unfolding of protein substrates subsequently hydrolyzed by HslV. HslU recognizes the N-terminal part of its protein substrates and unfolds these before they are guided to HslV for hydrolysis	O
OG0005400	168	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005401	453	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005402	387	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005403	324	1	1	1	1	NA	0.69	NA	2	0	2	2	-	-
OG0005404	393	1	1	1	1	NA	0.69	NA	2	0	2	2	-	-
OG0005405	174	1	1	1	1	NA	0.69	NA	2	0	2	2	glutaryl-CoA dehydrogenase activity	I
OG0005406	120	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005407	126	1	1	1	1	NA	0.69	NA	2	0	2	2	"Catalyzes the conversion of (8S)-3',8-cyclo-7,8- dihydroguanosine 5'-triphosphate to cyclic pyranopterin monophosphate (cPMP)"	H
OG0005408	192	1	1	1	1	NA	0.69	NA	2	0	2	2	Peptidase family U32 C-terminal domain	O
OG0005409	297	1	1	1	1	NA	0.69	NA	2	0	2	2	Sodium:neurotransmitter symporter family	S
OG0005410	69	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005412	168	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005413	183	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005417	75	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005418	93	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005419	225	1	1	1	1	NA	0.69	NA	2	0	2	2	Major Facilitator Superfamily	P
OG0005426	156	1	1	1	1	NA	0.69	NA	2	0	2	2	Beta-lactamase enzyme family	V
OG0005428	159	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
OG0005429	288	1	1	1	1	NA	0.69	NA	2	0	2	2	TRSP domain C terminus to PRTase_2	F
OG0005430	264	1	1	1	1	NA	0.69	NA	2	0	2	2	"first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA"	I
OG0005431	105	1	1	1	1	NA	0.69	NA	2	0	2	2	#N/A	#N/A
