OG	Median OG length (bp)	Proportion contexts near scaffold edge	Number of genomes with OG	Number of instances	Context variability score	Context variability score - complete contexts	Context entropy score	Context entropy score - complete contexts	Number of distinct neighbor OGs	Number of distinct OGs from complete contexts	Avg. number of distinct neighbor OGs	Avg. number of distinct neighbor OGs from complete contexts
OG0000000	2322.0	0.22	77	773	0.01	0.01	6.95	6.96	2083	2017	14.84	14.84
OG0000001	774.0	0.06	77	657	0.02	0.02	5.53	5.54	886	871	17.66	17.66
OG0000002	327.0	0.12	77	626	0.01	0.01	6.84	6.81	2278	2173	22.41	22.41
OG0000003	801.0	0.03	77	485	0.03	0.03	5.53	5.52	713	704	18.47	18.47
OG0000004	867.0	0.06	77	484	0.01	0.01	6.46	6.44	1711	1663	19.6	19.6
OG0000005	888.0	0.06	77	475	0.02	0.02	6.25	6.22	1173	1146	18.67	18.67
OG0000006	564.0	0.05	76	461	0.01	0.01	6.36	6.35	1371	1337	18.43	18.43
OG0000007	537.0	0.07	51	417	0.01	0.01	7.37	7.36	2351	2302	18.62	18.62
OG0000008	877.5	0.08	77	414	0.01	0.01	6.53	6.49	1483	1428	18.49	18.49
OG0000009	772.5	0.02	77	410	0.02	0.02	6.26	6.26	1248	1243	19.03	19.03
OG0000010	2161.5	0.03	76	364	0.02	0.02	6.15	6.13	1034	1004	17.64	17.64
OG0000011	1032.0	0.07	77	339	0.02	0.02	6.35	6.34	1432	1396	23.36	23.36
OG0000012	1005.0	0.08	77	337	0.07	0.07	4.35	4.37	252	249	18.53	18.53
OG0000013	444.0	0.09	77	333	0.02	0.02	6.23	6.2	1156	1108	18.34	18.34
OG0000014	820.5	0.13	69	326	0.02	0.02	5.56	5.61	718	692	16.55	16.55
OG0000015	408.0	0.09	77	326	0.01	0.01	6.48	6.41	1419	1321	18.75	18.75
OG0000016	1443.0	0.1	77	323	0.02	0.02	5.89	5.87	899	863	18.77	18.77
OG0000017	357.0	0.05	77	322	0.04	0.04	5.31	5.29	516	490	21.37	21.37
OG0000018	321.0	0.09	77	303	0.01	0.02	6.22	6.21	1297	1244	19.25	19.25
OG0000019	609.0	0.23	63	302	0.01	0.01	6.38	6.27	1532	1361	19.88	19.88
OG0000020	954.0	0.11	77	294	0.02	0.02	6.13	6.03	1139	1032	18.59	18.59
OG0000021	705.0	0.1	77	294	0.02	0.02	5.67	5.68	790	763	17.14	17.14
OG0000022	963.0	0.08	76	291	0.02	0.02	6.06	6.01	1060	1013	21.45	21.45
OG0000023	1230.0	0.06	76	279	0.02	0.02	6.18	6.14	993	965	17.55	17.55
OG0000024	661.5	0.27	43	274	0.01	0.01	7.17	7.16	1782	1687	15.54	15.54
OG0000025	1173.0	0.05	77	261	0.03	0.03	5.44	5.43	661	649	18.06	18.06
OG0000026	1386.0	0.11	72	259	0.02	0.02	6.02	5.96	918	867	16.83	16.83
OG0000027	1491.0	0.1	76	259	0.02	0.02	5.81	5.78	867	827	16.27	16.27
OG0000028	549.0	0.13	73	258	0.02	0.02	6.7	6.65	1456	1371	22.32	22.32
OG0000029	135.0	0.13	74	255	0.03	0.03	4.79	4.76	575	528	17.87	17.87
OG0000030	750.0	0.06	77	251	0.02	0.02	6.08	6.06	994	975	18.69	18.69
OG0000031	894.0	0.04	76	247	0.03	0.03	5.24	5.25	609	606	16.88	16.88
OG0000032	705.0	0.05	77	246	0.04	0.04	5.29	5.29	514	510	21.02	21.02
OG0000033	1593.0	0.07	77	246	0.03	0.03	5.53	5.5	706	690	17.74	17.74
OG0000034	1044.0	0.08	69	245	0.02	0.02	6.33	6.3	990	951	18.06	18.06
OG0000035	1599.0	0.04	76	244	0.03	0.03	5.17	5.18	584	582	17.85	17.85
OG0000036	675.0	0.27	44	238	0.02	0.02	6.37	6.34	1121	1007	18.82	18.82
OG0000037	936.0	0.04	76	238	0.03	0.03	5.12	5.13	543	540	16.89	16.89
OG0000038	951.0	0.08	72	226	0.02	0.02	6.05	6.04	999	966	19.23	19.23
OG0000039	1398.0	0.07	76	225	0.02	0.02	6.2	6.17	952	928	18.32	18.32
OG0000040	759.0	0.04	72	221	0.02	0.02	6.29	6.26	1021	989	17.44	17.44
OG0000041	810.0	0.03	76	219	0.04	0.04	5.23	5.24	534	530	19.17	19.17
OG0000042	1434.0	0.03	77	218	0.03	0.03	5.7	5.67	672	652	17.53	17.53
OG0000043	1203.0	0.06	76	217	0.03	0.03	5.54	5.53	629	606	19.01	19.01
OG0000044	759.0	0.02	77	215	0.03	0.03	5.59	5.59	715	713	20	20
OG0000045	837.0	0.02	75	214	0.04	0.04	5.26	5.26	576	575	20.36	20.36
OG0000046	543.0	0.06	72	213	0.02	0.02	6.26	6.21	930	885	19.11	19.11
OG0000047	432.0	0.06	77	212	0.03	0.03	5.72	5.73	921	900	27.41	27.41
OG0000048	1248.0	0.11	77	211	0.02	0.03	5.78	5.71	783	732	18.91	18.91
OG0000049	516.0	0.02	76	210	0.03	0.03	5.56	5.56	710	704	19.9	19.9
OG0000050	1539.0	0.04	77	207	0.04	0.04	5.39	5.38	500	492	18.31	18.31
OG0000051	1515.0	0.04	77	205	0.03	0.03	5.83	5.82	681	680	19.51	19.51
OG0000052	522.0	0.03	74	204	0.02	0.02	6.44	6.41	1091	1047	18.84	18.84
OG0000053	726.0	0.04	77	201	0.04	0.04	5.19	5.19	529	525	19.09	19.09
OG0000054	1194.0	0.03	77	201	0.04	0.04	5.18	5.18	408	405	17.95	17.95
OG0000055	1221.0	0.03	72	199	0.02	0.02	6.06	6.07	759	753	18.26	18.26
OG0000056	720.0	0.12	76	199	0.05	0.05	4.87	4.88	362	349	17.84	17.84
OG0000057	570.0	0.04	77	194	0.03	0.04	4.32	4.28	421	405	14.61	14.61
OG0000058	1002.0	0.04	77	194	0.04	0.04	5.13	5.12	444	435	18.82	18.82
OG0000059	990.0	0.05	77	193	0.02	0.02	5.6	5.57	715	703	16.93	16.93
OG0000060	918.0	0.04	77	193	0.02	0.02	6.08	6.08	801	793	17.84	17.84
OG0000061	516.0	0.04	77	191	0.04	0.04	5.25	5.26	497	487	18.24	18.24
OG0000062	405.0	0.06	75	188	0.02	0.02	5.6	5.56	718	692	16.14	16.14
OG0000063	927.0	0.03	77	183	0.03	0.03	5.47	5.47	594	590	20.35	20.35
OG0000064	549.0	0.04	76	181	0.04	0.04	5.14	5.12	471	453	17.89	17.89
OG0000065	1152.0	0.05	75	179	0.04	0.04	5.33	5.34	489	487	18.99	18.99
OG0000066	465.0	0.06	77	178	0.05	0.06	4.72	4.72	364	355	19.94	19.94
OG0000067	1488.0	0.08	77	176	0.03	0.04	5.24	5.15	531	489	17.16	17.16
OG0000068	1059.0	0.13	77	176	0.04	0.04	5.16	5.19	457	438	16.53	16.53
OG0000069	705.0	0.06	65	176	0.02	0.02	6.28	6.24	989	962	19.02	19.02
OG0000070	561.0	0.1	68	175	0.02	0.02	6.04	5.99	833	783	19.4	19.4
OG0000071	1368.0	0.03	62	175	0.04	0.04	5.41	5.38	495	485	17.7	17.7
OG0000072	1191.0	0.03	71	175	0.03	0.03	5.5	5.49	654	649	20.41	20.41
OG0000073	1359.0	0.05	77	174	0.03	0.03	5.6	5.55	595	566	17.41	17.41
OG0000074	915.0	0.05	71	174	0.03	0.03	5.56	5.53	677	669	20.56	20.56
OG0000075	705.0	0.13	39	171	0.01	0.01	7.05	7.02	1653	1587	18.47	18.47
OG0000076	714.0	0.03	56	167	0.03	0.03	5.59	5.55	630	610	20.8	20.8
OG0000077	201.0	0.09	77	167	0.04	0.04	5.42	5.37	578	553	20.63	20.63
OG0000078	1035.0	0.02	43	165	0.03	0.03	5.48	5.48	548	547	18.88	18.88
OG0000079	1737.0	0.16	77	165	0.03	0.03	5.18	5.25	549	499	16.99	16.99
OG0000080	192.0	0.07	67	165	0.02	0.02	6.2	6.14	914	864	19.45	19.45
OG0000081	748.5	0.05	77	164	0.07	0.07	4.81	4.82	274	273	18.49	18.49
OG0000082	927.0	0.04	77	164	0.04	0.04	5.0	4.99	480	465	20.61	20.61
OG0000083	1188.0	0.07	77	163	0.1	0.1	3.73	3.73	207	203	20.45	20.45
OG0000084	1485.0	0.06	77	159	0.07	0.07	4.74	4.75	285	283	20.65	20.65
OG0000085	786.0	0.04	77	158	0.15	0.15	4.1	4.1	134	134	19.88	19.88
OG0000086	2406.0	0.03	77	158	0.11	0.11	4.28	4.29	206	204	22.58	22.58
OG0000087	1437.0	0.13	77	157	0.05	0.06	4.5	4.52	286	273	15.45	15.45
OG0000088	339.0	0.11	76	156	0.03	0.03	5.38	5.3	746	692	18.81	18.81
OG0000089	801.0	0.06	77	155	0.05	0.06	4.32	4.3	423	402	22.17	22.17
OG0000090	744.0	0.05	77	154	0.03	0.04	5.43	5.41	590	578	20.44	20.44
